LOCATION,REGION,ADDRESS,TYPE,RULES
Express Elevator--Hurry Up!,WDW,3626073,Star,
Go to Town for Red Coins,WDW:Downtown,3626074,RedCoins,WK | MOVELESS TJ
Quick Race Through Downtown!,WDW:Downtown,3626075,Star,VC WK/BF | VC TJ LG | MOVELESS VC TJ
100 Coins Star,WDW:Top,3626076,100Coins,GP | NAR LG TJ/SF/BF | CANN | MOVELESS TJ DV
Bob-omb Buddy,WDW:Top,3626210,Buddy,TJ | SF LG | NAR BF/SF
1-Up Block in the Downtown,WDW:Downtown,3626226,MushBlock,
Scale the Mountain,TTM:Top,3626077,Star,
Mystery of the Monkey Cage,TTM:Top,3626078,Star,
"Scary 'Shrooms\, Red Coins",TTM,3626079,RedCoins,
Mysterious Mountainside,TTM:Top,3626080,Star,
Breathtaking View from Bridge,TTM:Top,3626081,Star,
Blast to the Lonely Mushroom,TTM,3626082,Star,CANN | CANNLESS LJ | MOVELESS CANNLESS
100 Coins Star,TTM:Top,3626083,100Coins,
Bob-omb Buddy,TTM,3626211,Buddy,
1-Up Block on the Red Mushroom,TTM,3626227,MushBlock,
Pluck the Piranha Flower,THI:Pipes,3626084,Star,
The Tip Top of the Huge Island,THI:Pipes,3626085,Star,
Rematch with Koopa the Quick,THI:Pipes,3626086,Star,
Five Itty Bitty Secrets,THI:Pipes,3626087,Star,
Wiggler's Red Coins,THI:Pipes,3626088,RedCoins,WK
Make Wiggler Squirm,THI:LargeTop,3626089,Star,GP | MOVELESS DV
100 Coins Star,THI:LargeTop,3626090,100Coins,GP
Bob-omb Buddy,THI:Pipes,3626212,Buddy,
1-Up Block Near Tiny Start,THI:Pipes,3626228,MushBlock,
1-Up Block Near Huge Start,THI:Pipes,3626229,MushBlock,
1-Up Block in the Windy Area,THI:Pipes,3626230,MushBlock,
Roll into the Cage,TTC:Lower,3626091,Star,
The Pit and the Pendulums,TTC:Upper,3626092,Star,
Get a Hand,TTC:Lower,3626093,Star,
Stomp on the Thwomp,TTC:Top,3626094,Star,
Timed Jumps on Moving Bars,TTC:Upper,3626095,Star,
Stop Time for Red Coins,TTC,3626096,RedCoins,NAR | LG/TJ/SF/BF/WK
100 Coins Star,TTC:Top,3626097,100Coins,GP
1-Up Block Midway Up,TTC:Top,3626231,MushBlock,
1-Up Block at the Top,TTC:Top,3626232,MushBlock,
Cruiser Crossing the Rainbow,RR:Cruiser,3626098,Star,
The Big House in the Sky,RR:House,3626099,Star,
Coins Amassed in a Maze,RR:Maze,3626100,RedCoins,
Swingin' in the Breeze,RR,3626101,Star,LG/TJ/BF/SF | MOVELESS
Tricky Triangles!,RR,3626102,Star,LG/TJ/BF/SF | MOVELESS
Somewhere over the Rainbow,RR:Cruiser,3626103,Star,CANN
100 Coins Star,RR:Maze,3626104,100Coins,GP WK
Bob-omb Buddy,RR,3626214,Buddy,WK | MOVELESS LG
1-Up Block Above the Red Coin Maze,RR,3626233,MushBlock,
1-Up Block Under Fly Guy,RR,3626234,MushBlock,
1-Up Block on the House in the Sky,RR:House,3626235,MushBlock,
End of the Slide Block,PSS,3626126,Star,
Finish under 21 Seconds,PSS,3626127,Star,
The Aquarium Red Coins,SA,3626161,RedCoins,
First Bowser's Key,BitDW,3626178,BowserKey,
Dark World Red Coins,BitDW,3626105,RedCoins,
1-Up Block on the Tower,BitDW,3626236,MushBlock,
1-Up Block Near the Goombas,BitDW,3626237,MushBlock,
Second Bowser's Key,BitFS:Upper,3626179,BowserKey,
Fire Sea Red Coins,BitFS:Upper,3626112,RedCoins,LG/WK
1-Up Block on the Swaying Stairs,BitFS:Upper,3626238,MushBlock
1-Up Block Near the Poles,BitFS:Upper,3626239,MushBlock,LG/WK
Sky Red Coins,BitS:Top,3626119,RedCoins,
1-Up Block on the Rotating Platform,BitS,3626240,MushBlock,
Wing Cap Switch,TotWC,3626181,RedSwitch,
Tower Red Coins,TotWC,3626140,RedCoins,
Metal Cap Switch,CotMC,3626182,GreenSwitch,
Cavern Red Coins,CotMC,3626133,RedCoins,MC | CAPLESS
1-Up Block Above the Rushing River,CotMC,3626241,MushBlock,
Vanish Cap Switch,VCutM,3626183,BlueSwitch,WK/TJ/BF/SF/LG | MOVELESS
Moat Red Coins,VCutM,3626147,RedCoins,WK/TJ/BF/SF/LG VC | CAPLESS WK
1-Up Block on the Slope Platform,VCutM,3626242,MushBlock,
Rainbow Red Coins,WMotR,3626154,RedCoins,WC TJ
Rainbow 1-Up Block,WMotR,3626243,MushBlock,WC TJ
Basement Toad's Gift,MKC,3626168,Star,ACCESS:B1 STARS:12
Second Floor Toad's Gift,MKC,3626169,Star,ACCESS:F2 STARS:25
Third Floor Toad's Gift,MKC,3626170,Star,ACCESS:F3 STARS:35
MIPS the Rabbit,MKC,3626171,Star,ACCESS:B1 STARS:MIPS1
MIPS the Rabbit II,MKC,3626172,Star,ACCESS:B1 STARS:MIPS2
